"","en","af","am","ar","as","az","be","bg","bn","bs","cs","da","de","dv","el","es","et","fa","fi","fr","ga","he","hi","hr","hy","id","is","it","ja","jv","ka","kk","ko","ky","lb","lt","lv","mk","mn","ms","mt","my","ne","nl","no","pl","ps","pt","ro","ru","sk","sl","so","sq","sr","su","sv","sw","tg","th","tk","tl","tr","uk","ur","uz","vi","zh"
"precocious","precocious","voorbarig","ቅድመ ሁኔታ","مبكر النضج","precocious","erkən","хуткаспелы","преждевременно развит","অকাল","prerano","předčasný","for tidligt","frühreif","ޕްރީކޯސިއަސް އެވެ","πρόωρος","precoz","enneaegsed","زودرس","varhaiskypsä","précoce","precocious","מוקדמת","असामयिक","rani","վաղաժամ","dewasa sebelum waktunya","bráðþroska","precoce","早熟","precocious","ნაადრევი","ерте жетілген","조숙한","эрте жетилген","precocious","ankstyvas","priekšlaicīgs","предвремена","эрт бий болсон","cepat matang","prekoċi","လွန်ကဲသော","प्रारम्भिक","vroegrijp","dyrebar","przedwczesny","وختي","precoce","precoce","не по годам развитый","predčasne vyspelý","predčasno","precocious","i parakohshëm","прерано","samemehna","brådmogen","precocious","бармаҳал","แก่แดด","aljyraňňy","maagang umunlad","erken gelişmiş","передчасний","وقتی","erta rivojlangan","phát triển sớm","早熟"
"resourceful","resourceful","vindingryk","ሀብት ያለው","واسع الحيلة","সম্পদশালী","bacarıqlı","вынаходлівы","находчив","সম্পদপূর্ণ","snalažljiv","vynalézavý","ressourcestærke","einfallsreich","ވަސީލަތްތައް ގިނައެވެ","πολυμήχανος","ingenioso","leidlik","مدبر","neuvokas","ingénieux","Seiftiúil","בַּעַל תוּשִׁיָה","साधन-संपन्न","snalažljiv","հնարամիտ","banyak akal","Útsjónarsamur","intraprendente","機知に富んだ","sumber daya","მარაგი","тапқыр","똑똑한","тапкыч","ressourcevoll","išradingas","atjautīgs","снаодлив","авхаалжтай","bijak pandai","risorsi","ရည်မွန်သော","साधन सम्पन्न","vindingrijk","ressurssterk","pomysłowy","منابع","engenhoso","descurcăreț","находчивый","vynaliezavý","iznajdljiv","faa'iido leh","i shkathët","сналажљив","akalna","rådig","mbunifu","боистеъдод","มีไหวพริบ","zehinli","mapamaraan","becerikli","винахідливий","وسائل","topqir","tháo vát","足智多谋"
"inquisitive","inquisitive","nuuskierig","ጠያቂ","فضولي","অনুসন্ধিৎসু","maraqlanan","дапытлівы","любознателен","অনুসন্ধিৎসু","radoznao","zvědavý","nysgerrig","neugierig","ސުވާލު އުފެދޭ ކަމެކެވެ","περίεργος","inquisitivo","uudishimulik","کنجکاو","utelias","curieux","fiosrach","סקרן","जिज्ञासु","radoznao","հետաքրքրասեր","ingin tahu","fróðleiksfús","curioso","好奇心旺盛","kepengin weruh","ცნობისმოყვარე","ізденімпаз","알고 싶어하는","кызыккан","virwëtzeg","smalsus","zinātkārs","испитувачки","сониуч зантай","ingin tahu","kurjuż","စပ်စု","जिज्ञासु","nieuwsgierig","nysgjerrige","ciekawy","پلټونکی","inquisitivo","indiscret","любознательный","zvedavý","radoveden","wax weydiinaya","kureshtar","радознао","panasaran","frågvis","mdadisi","пурсиш","อยากรู้อยากเห็น","bilesigeliji","matanong","meraklı","допитливий","جشتھاس","qiziquvchan","tò mò","好奇"
"sagacious","sagacious","saggeaard","ሳጋሲያዊ","حكيم","sagacious","fərasətli","празорлівы","проницателен","বিচক্ষণ","sagacious","bystrý","klog","scharfsinnig","ސޭގަޝިއަސް އެވެ","μυαλωμένος","sagaz","targad","حکیمانه","viisas","sagace","sagacious","נָבוֹן","मेधावी","mudar","խելամիտ","cerdas","vitur","sagace","賢明な","pinter","საზრიანი","зерек","현명한","акылдуу","sagacious","išmintingas","gudrs","разумен","мэргэн ухаантай","bijak","sagacious","သိမ်မွေ့သော","समझदार","scherpzinnig","sagkyndig","mądry","هوښیار","sagaz","sagace","проницательный","bystrý","preudaren","sagaag","i urtë","проницљив","sagacious","klok","mwenye akili timamu","доно","ไหวพริบ","sagdyn","matalino","akıllı","мудрий","سمجھدار","aqlli","khôn ngoan","明智"
"inventive","inventive","vindingryk","የፈጠራ","إبداعي","উদ্ভাৱনীমূলক","ixtiraçı","вынаходніцкі","изобретателен","উদ্ভাবক","inventivni","vynalézavý","opfindsom","erfinderisch","އީޖާދީ އެއްޗެކެވެ","εφευρετικός","inventivo","leidlik","مبتکر","kekseliäs","inventif","airgtheach","תַחבְּלָנִי","आविष्कारशील","inventivan","հնարամիտ","inventif","hugvitssamur","inventivo","独創的","inventif","გამომგონებლური","өнертапқыш","독창적인","ойлоп табуучулук","inventiv","išradingas","izgudrojošs","инвентивни","шинэлэг","berdaya cipta","inventiv","တီထွင်မှု","आविष्कारशील","inventief","oppfinnsom","wynalazczy","اختراعي","inventivo","inventiv","изобретательный","vynaliezavý","inventiven","hindise","shpikës","инвентивни","inventive","uppfinningsrik","uvumbuzi","ихтироъкор","สร้างสรรค์","oýlap tapyjy","mapag-imbento","yaratıcı","винахідливий","اختراعی","ixtirochi","phát minh","有创意的"
"astute","astute","skerpsinnig","አስተዋይ","مخضرم","চতুৰ","zirək","праніклівы","проницателен","চতুর","pronicljiv","rafinovaný","kloge","schlau","astute","οξύνους","astuto","nutikas","زیرک","viisas","astucieux","géarchúiseach","עָרוּם","चतुर","lukav","ճարպիկ","cerdik","gáfaður","astuto","抜け目のない","pinter","გამჭრიახი","зерек","기민한","кыраакы","schlau","įžvalgus","asprātīgs","остроумен","ухаалаг","cerdik","astut","ပါးနပ်သည်။","चतुर","scherpzinnig","skarpsindig","bystry","هوښیار","astuto","astut","проницательный","bystrý","pronicljiv","caqli leh","mendjemprehtë","проницљив","pinter","skarpsinnig","mwerevu","доно","ฉลาด","haýran","matalino","zeki","проникливий","ہوشیار","aqlli","sắc sảo","精明"
"adaptable","adaptable","aanpasbaar","የሚለምደዉ","قابل للتكيف","অভিযোজিত","uyğunlaşa bilən","адаптыўны","адаптивен","অভিযোজিত","prilagodljiv","adaptabilní","tilpasningsdygtig","anpassungsfähig","އެޑެޕްޓެބަލް އެވެ","προσαρμόσιμος","adaptable","kohandatav","سازگار","mukautuva","adaptable","inoiriúnaithe","סָגִיל","अनुकूलनीय","prilagodljiv","հարմարվողական","mudah beradaptasi","aðlögunarhæfur","adattabile","適応可能な","bisa adaptasi","ადაპტირებადი","бейімделгіш","적응할 수 있는","ийкемдүү","adaptéierbar","pritaikomas","pielāgojams","прилагодливи","дасан зохицох чадвартай","boleh menyesuaikan diri","adattabbli","အချက်နဲ့","अनुकूलन योग्य","aanpasbaar","tilpasningsdyktig","dający się przystosować","د تطبیق وړ","adaptável","adaptabil","адаптируемый","prispôsobivý","prilagodljiv","la qabsan karo","i adaptueshëm","прилагодљив","bisa adaptasi","anpassbar","inayoweza kubadilika","мутобиқшаванда","ปรับตัวได้","uýgunlaşdyrylan","madaling ibagay","uyarlanabilir","адаптований","موافقت پذیر","moslashuvchan","dễ thích nghi","适应性强"
"reflective","reflective","reflektief","አንጸባራቂ","عاكس","প্ৰতিফলিত","əks etdirən","святлоадбівальны","отразяващ","প্রতিফলিত","reflektirajuće","reflexní","reflekterende","reflektierend","ރިފްލެކްޓިވް","ανακλαστικός","reflexivo","peegeldav","منعکس کننده","heijastava","réfléchissant","machnamhach","מחזיר אור","चिंतनशील","reflektirajući","արտացոլող","reflektif","hugsandi","riflessivo","反射する","reflektif","ამრეკლავი","рефлексиялық","반사","чагылдыруучу","reflektiv","atspindintis","atstarojošs","рефлектирачки","тусгал","reflektif","li jirriflettu","ရောင်ပြန်","प्रतिबिम्बित","reflecterend","reflekterende","odblaskowy","عکاس","reflexivo","reflectorizant","отражающий","reflexné","odsevni","milicsi","reflektuese","рефлексивни","réfléktif","reflekterande","kutafakari","инъикоскунанда","สะท้อนแสง","şöhlelendiriji","mapanimdim","yansıtıcı","світловідбиваючий","عکاس","aks ettiruvchi","phản quang","反光的"
"discerning","discerning","oordeelkundig","አስተዋይ","فطنة","বিবেচনাশীল","müdrik","разборлівы","проницателен","বিচক্ষণ","pronicljiv","náročný","kræsne","anspruchsvoll","ވިސްނުންތޫނު މީހެކެވެ","παρατηρητικός","perspicaz","tähelepanelik","متفکر","huomaavainen","discernement","géarchúiseach","נָבוֹן","विवेकी","pronicljiv","խորաթափանց","cerdas","hygginn","perspicace","見識のある","wicaksana","გამჭრიახი","талғампаз","식별력 있는 사람들","кыраакы","erkennen","įžvalgus","zinošs","остроумен","ялгах","arif","għaqlin","ပိုင်းခြားခြင်း။","विवेकी","onderscheidend","kresne","wnikliwy","پوه","perspicaz","discernământ","проницательный","náročný","pronicljiv","garasho leh","dallues","проницљив","discerning","kräsna","kupambanua","доно","ฉลาด","paýhasly","maunawain","anlayışlı","розбірливий","سمجھدار","aqlli","sáng suốt","挑剔的"
"intuitive","intuitive","intuïtief","ሊታወቅ የሚችል","حدسي","স্বজ্ঞাত","intuitiv","інтуітыўна зразумелы","интуитивен","স্বজ্ঞাত","intuitivno","intuitivní","intuitiv","intuitiv","އިންޓިއުޓިވް","ενστικτώδης","intuitivo","intuitiivne","شهودی","intuitiivinen","intuitif","iomasach","אינטואיטיבי","सहज ज्ञान युक्त","intuitivno","ինտուիտիվ","intuitif","leiðandi","intuitivo","直感的","intuisi","ინტუიციური","интуитивті","직관적","интуитивдик","intuitiv","intuityvus","intuitīvs","интуитивен","зөн совинтой","intuitif","intuwittivi","အလိုလိုသိသည်။","सहज","intuïtief","intuitiv","intuicyjny","شعوري","intuitivo","intuitiv","интуитивно понятный","intuitívne","intuitivno","dareen leh","intuitive","интуитивно","intuitif","intuitiv","angavu","интуитивй","ใช้งานง่าย","duýgur","intuitive","sezgisel","інтуїтивно зрозумілий","بدیہی","intuitiv","trực giác","直觉的"
"inquiring","inquiring","navraag doen","መጠየቅ","الاستفسار","সোধা-পোছা কৰা","soruşur","запытальна","питане","জিজ্ঞাসাবাদ","raspitujući se","tázavý","spørgende","fragend","ސުވާލު ކުރަމުންނެވެ","ερευνητικός","preguntando","uurides","پرس و جو کردن","tiedustella","curieux","ag fiosrú","שואל","जांच का","raspitujući se","հարցուփորձ անելով","bertanya","spyrjandi","indagando","問い合わせる","takon-takon","იკითხავს","сұрау","미심쩍은 듯한","суроо","froen","teiraujasi","jautājot","прашувајќи се","асууж байна","menyiasat","jistaqsi","မေးမြန်းခြင်း။","सोधपुछ गर्दै","onderzoekend","spørrende","dociekliwy","پوښتنه کول","indagando","întrebând","вопрошающий","pýtajúc sa","poizvedovanje","weydiinaya","duke pyetur","распитујући се","inquiring","frågande","kuuliza","пурсон кардан","สอบถาม","soramak","nagtatanong","soran","допитливий","پوچھ گچھ","surishtirib","thắc mắc","查询"
"judicious","judicious","oordeelkundig","ዳኝነት ያለው","حكيم","বিবেচনাপূৰ্ণ","müdrik","разважлівы","разумен","ন্যায়পরায়ণ","razuman","soudný","velovervejet","vernünftig","ވިސްނުންތޫނު","συνετός","juicioso","kaalutletud","دارای قوه قضاوت سلیم","järkevää","judicieux","tuisceanach","נָבוֹן","उचित","razborit","խոհեմ","bijaksana","dómgreindar","giudizioso","賢明な","wicaksana","გონივრული","парасатты","신중한","акылдуу","uerdentlech","protingas","saprātīgi","разумен","ухаалаг","bijaksana","ġudizzjuż","တရားမျှတသော","न्यायपूर्ण","verstandig","fornuftig","rozsądny","قضاوت","criterioso","judicios","рассудительный","rozumný","razsoden","garsoore","i matur","разборит","wijaksana","klok","mwenye busara","оқилона","รอบคอบ","paýhasly","mapanghusga","mantıklı","розважливий","انصاف پسند","oqilona","khôn ngoan","明智的"
"analytical","analytical","analities","ትንተናዊ","تحليلي","বিশ্লেষণাত্মক","analitik","аналітычны","аналитичен","বিশ্লেষণাত্মক","analitički","analytická","analytisk","analytisch","އެނަލިޓިކަލް އެވެ","αναλυτικός","analítico","analüütiline","تحلیلی","analyyttinen","analytique","anailíseach","אנליטיים","विश्लेषणात्मक","analitički","վերլուծական","analitis","greinandi","analitico","分析的な","analitik","ანალიტიკური","аналитикалық","분석적","аналитикалык","analytesch","analitinis","analītisks","аналитички","аналитик","analitikal","analitiku","ခွဲခြမ်းစိတ်ဖြာခြင်း။","विश्लेषणात्मक","analytisch","analytisk","analityczny","تحلیلي","analítico","analitic","аналитический","analytické","analitično","gorfayn","analitike","аналитичке","analitik","analytisk","uchambuzi","таҳлилӣ","วิเคราะห์","seljeriş","analitikal","analitik","аналітичний","تجزیاتی","analitik","phân tích","分析性的"
"luminous","luminous","lig","የሚያበራ","مضيئة","উজ্জ্বল","işıqlı","святлівы","светещ","উজ্জ্বল","luminous","svítící","lysende","leuchtend","ލޫމިނަސް އެވެ","φωτεινός","luminoso","helendav","نورانی","valoisa","lumineux","lonrúil","זוֹרֵחַ","चमकदार","svjetleći","լուսավոր","bercahaya","lýsandi","luminoso","明るい","padhang","მანათობელი","жарқыраған","총명한","жарык","liicht","šviečiantys","gaismas","прозрачна","гэрэлтдэг","bercahaya","luminuża","တောက်ပသော","उज्यालो","lichtgevend","lysende","świetlny","روښانه","luminoso","luminos","светящийся","svietiaci","svetleči","iftiin leh","ndriçues","светлећи","bercahaya","lysande","mwangaza","равшан","ส่องสว่าง","ýagty","maliwanag","aydınlık","світний","چمکدار","nurli","phát sáng","发光的"
"venerable","venerable","eerbiedwaardig","የተከበረ","جليل","পূজনীয়","hörmətli","шаноўны","почтен","পূজনীয়","poštovan","ctihodný","ærværdige","ehrwürdig","އިޙްތިރާމް ލިބިގެންވާ މީހެކެވެ","σεβάσμιος","venerable","auväärne","ارجمند","kunnioitettava","vénérable","venerable","נִכבָּד","सम्मानित","časni","պատկառելի","tua","virðulegur","venerabile","由緒ある","kinurmatan","მხცოვანი","құрметті","오래된","урматтуу","éierlech","gerbiamas","godājams","преподобен","эрхэмсэг","dihormati","venerabbli","အသျှင်ဘုရား","आदरणीय","eerbiedwaardig","ærverdige","czcigodny","د احترام وړ","venerável","venerabil","почтенный","ctihodný","častitljiv","sharaf leh","i nderuar","преподобни","terhormat","ärevördig","kuheshimiwa","мухтарам","น่านับถือ","abraýly","kagalang-galang","saygıdeğer","поважний","قابل احترام","hurmatli","đáng kính","可敬"
"imaginative","imaginative","verbeeldingryk","ምናባዊ","واسع الخيال","কল্পনাপ্ৰসূত","təsəvvürlü","вобразны","въображаем","কল্পনাপ্রবণ","maštovit","Nápaditý","fantasifulde","einfallsreich","ޚިޔާލީ އެއްޗެކެވެ","ευφάνταστος","imaginativo","kujutlusvõimeline","تخیلی","mielikuvituksellinen","imaginatif","samhlaíoch","דִמיוֹנִי","कल्पनाशील","maštovit","երեւակայական","imajinatif","hugmyndaríkur","fantasioso","想像力豊か","imajinatif","წარმოსახვითი","қиялшыл","상상력이 풍부한","элестетүү","imaginativ","vaizduotės","tēlains","имагинативен","төсөөлөлтэй","berimaginasi","immaġinattivi","စိတ်ကူးယဉ်","कल्पनाशील","fantasierijk","Fantasifull","obdarzony wyobraźnią","خیالي","imaginativo","imaginativ","творческий","nápadité","domiseln","khayaali ah","imagjinative","маштовит","imajinatif","fantasifull","ya kufikirika","хаёлот","จินตนาการ","hyýaly","mapanlikha","yaratıcı","образний","تخیلاتی","xayolparast","giàu trí tưởng tượng","富有想象力的"
"shrewd","shrewd","uitgeslape","ብልህ","داهية","চতুৰ","fərasətli","праніклівы","проницателен","চতুর","lukav","chytrý","kloge","klug","ވިސްނުންތޫނު މީހެކެވެ","πανούργος","perspicaz","kaval","زیرک","taitava","astucieux","stuama","מְמוּלָח","चालाक","oštrouman","խորամանկ","lihai","snjall","scaltro","抜け目のない","pinter","გამჭრიახი","зерек","날카로운","кыраакы","schlau","gudrus","gudrs","остроумен","хашир","cerdik","għaqlija","အကင်းဆုံး","चतुर","gewiekst","kløktig","sprytny","هوښیار","astuto","perspicace","проницательный","bystrý","premeten","caqli badan","mendjemprehtë","лукав","pinter","slug","mwerevu","доно","ฉลาด","paýhasly","matalino","kurnaz","проникливий","ہوشیار","aqlli","thông minh","精明"
"thoughtful","thoughtful","bedagsaam","አሳቢ","وقور","বিচাৰশীল","düşüncəli","удумлівы","замислен","চিন্তাশীল","zamišljen","ohleduplný","tankevækkende","nachdenklich","ވިސްނޭ","προσεκτικός","considerado","läbimõeldud","متفکر","huomaavainen","réfléchi","tuisceanach","מִתחַשֵׁב","विचारमग्न","zamišljeno","մտածկոտ","penuh pertimbangan","hugsi","premuroso","思慮深い","pemikir","გააზრებული","ойлы","인정 있는","ойлуу","nodenklech","susimąsčiusi","pārdomāts","внимателен","бодолтой","termenung","maħsub","စဉ်းစားစရာ","विचारशील","bedachtzaam","omtenksom","przemyślany","فکر کوونکی","considerado","grijuliu","вдумчивый","premýšľavý","premišljeno","fakar badan","i menduar","пажљив","wijaksana","omtänksam","mwenye kufikiria","андешаманд","รอบคอบ","oýlandy","maalalahanin","düşünceli","вдумливий","سوچ سمجھ کر","o'ychan","chu đáo","周到"
"sage","sage","salie","ጠቢብ","حكيم","মুনি","adaçayı","шалфей","мъдрец","ঋষি","žalfija","šalvěj","salvie","Salbei","ސޭޖް","ΣΟΦΌΣ","sabio","salvei","حکیم","salvia","sage","saoi","מרווה","समझदार","kadulja","իմաստուն","Sage","spekingur","saggio","セージ","sage","ბრძენი","шалфей","세이지","шалфей","salbei","šalavijas","salvija","мудрец","мэргэн","bijak","salvja","ပညာရှိ","ऋषि","verstandig","salvie","szałwia","بابا","sábio","salvie","мудрец","šalvia","žajbelj","xikmad","i urtë","жалфија","sage","salvia","hekima","шалфе","ปราชญ์","akja","pantas","adaçayı","шавлія","بابا","adaçayı","Hiền nhân","智者"
"smart","smart","slim","ብልህ","ذكي","স্মাৰ্ট","ağıllı","разумны","умен","স্মার্ট","pametan","chytrý","smart","schlau","ވިސްނުންތޫނު","έξυπνος","elegante","tark","هوشمندانه","fiksu","intelligent","cliste","לִכאוֹב","बुद्धिमान","pametan","խելացի","cerdas","klár","accorto","頭いい","pinter","ჭკვიანი","ақылды","똑똑한","акылдуу","schlau","protingas","gudrs","паметен","ухаалаг","bijak pandai","intelliġenti","စမတ်","स्मार्ट","slim","smart","mądry","هوښیار","inteligente","inteligent","умный","chytrý","pameten","caqli badan","i zgjuar","оштроуман","pinter","smart","mwerevu","доно","ปราดเปรื่อง","akylly","matalino","akıllı","розумний","ہوشیار","aqlli","thông minh","聪明的"
"ingenious","ingenious","vernuftig","ብልሃተኛ","عبقري","ingenious","dahiyanə","геніяльны","гениален","বুদ্ধিমান","genijalan","geniální","genialt","genial","ފަންނުވެރިއެވެ","ευφυής","ingenioso","geniaalne","مبتکرانه","nerokas","ingénieux","seiftiúil","מְחוּכָּם","सरल","genijalan","հնարամիտ","berbakat","sniðug","ingegnoso","独創的な","pinter","გენიალური","тапқыр","영리한","гениалдуу","genial","išradingas","ģeniāls","генијален","овсгоотой","cerdik pandai","inġenjuża","ပညာသားပါပါ","चतुर","ingenieus","genialt","pomysłowy","هوښيار","engenhoso","ingenios","изобретательный","vynaliezavý","genialno","xariif ah","i zgjuar","генијалан","loba akalna","genial","werevu","доно","แยบยล","ugurtapyjy","mapanlikha","ustaca","геніальний","ہوشیار","zukko","khéo léo","巧妙"
"clever","clever","slim","ጎበዝ","ماهر","টেঙৰ","ağıllı","разумны","умен","চতুর","pametan","chytrý","dygtig","clever","ވިސްނުންތޫނު","έξυπνος","inteligente","kaval","باهوش","fiksu","intelligent","cliste","נבון","चालाक","pametan","խելացի","cerdik","snjall","Intelligente","頭がいい","pinter","ჭკვიანი","ақылды","영리한","акылдуу","clever","protingas","gudrs","паметен","ухаантай","pandai","għaqlija","လိမ္မာပါးနပ်သည်။","चलाख","slim","flink","sprytny","هوښیار","esperto","inteligent","умный","šikovný","pameten","xariif ah","i zgjuar","паметан","pinter","duktig","wajanja","доно","ฉลาด","akylly","matalino","akıllı","розумний","ہوشیار","aqlli","thông minh","聪明的"
"brilliant","brilliant","briljant","ብሩህ","باهِر","উজ্বল","parlaq","бліскучы","брилянтен","উজ্জ্বল","briljantno","brilantní","strålende","brillant","ވަރަށް ރަނގަޅު","λαμπρός","brillante","geniaalne","درخشان","loistava","brillant","thar cionn","מַברִיק","प्रतिभाशाली","briljantan","փայլուն","cemerlang","ljómandi","brillante","素晴らしい","sarwa","ბრწყინვალე","тамаша","멋진","жаркыраган","genial","puikus","izcili","брилијантен","гайхалтай","cemerlang","brillanti","တောက်ပ","शानदार","briljant","strålende","genialny","تکړه","brilhante","Sclipitor","блестящий","brilantný","briljantno","dhalaalaya","brilante","бриљантно","cemerlang","lysande","kipaji","олиҷаноб","ฉลาดหลักแหลม","ajaýyp","napakatalino","muhteşem","блискучий","شاندار","ajoyib","xuất sắc","杰出的"
"logical","logical","logies","አመክንዮአዊ","منطقي","যুক্তিসংগত","məntiqi","лагічна","логично","যৌক্তিক","logicno","logický","logisk","logisch","ލޮޖިކަލް އެވެ","λογικός","lógico","loogiline","منطقی","looginen","logique","loighciúil","הגיוני","तार्किक","logično","տրամաբանական","logis","rökrétt","logico","論理的","logis","ლოგიკური","логикалық","논리적","логикалык","logesch","logiška","loģiski","логично","логик","logik","loġiku","ယုတ္တိနည်း","तार्किक","logisch","logisk","logiczny","منطقي","lógico","logic","логический","logické","logično","macquul ah","logjike","логичан","logis","logisk","mantiki","мантиқӣ","ตรรกะ","mantykly","lohikal","mantıklı","логічний","منطقی","mantiqiy","hợp lý","合乎逻辑的"
"intelligent","intelligent","intelligent","ብልህ","ذكي","বুধিয়ক","ağıllı","разумны","интелигентен","বুদ্ধিমান","inteligentan","inteligentní","intelligent","intelligent","ތޫނުފިލި","έξυπνος","inteligente","intelligentne","باهوش","älykäs","intelligent","cliste","אִינְטֶלִיגֶנְטִי","बुद्धिमान","inteligentan","խելացի","cerdas","greindur","intelligente","知的","pinter","ინტელექტუალური","ақылды","지능적인","акылдуу","intelligent","protingas","inteliģents","интелигентни","ухаалаг","bijak pandai","intelliġenti","အသိဉာဏ်","बुद्धिमान","intelligent","intelligent","inteligentny","هوښيار","inteligente","inteligent","разумный","inteligentný","inteligenten","waxgarad","inteligjente","интелигентан","calakan","intelligent","mwenye akili","соҳибақл","ฉลาด","akylly","matalino","zeki","розумний","ذہین","aqlli","thông minh","聪明的"
"apt","apt","gepas","ተስማሚ","ملائم","apt","tutarlı","трапны","ап","উপযুক্ত","apt","apt","passende","geeignet","އެޕްޓް","κατάλληλος","apto","asjakohane","apt","apt","apte","oiriúnach","מַתְאִים","अपार्ट","prikladan","բն","tepat","viðeigandi","adatto","適切な","apt","აპ","қолайлы","적절한","apt","apt","apt","apt","Апт","тохиромжтой","apt","apt","သင့်လျော်သည်။","उपयुक्त","geschikt","apt","trafny","مناسب","apto","apt","подходящий","apt","apt","ku habboon","me vend","погодан","apt","benägen","inafaa","мувофиқ","ฉลาด","apt","apt","uygun","кв","مناسب","apt","đúng cách","易于"
"genius","genius","genie","ሊቅ","عبقري","প্ৰতিভা","dahi","геній","гений","প্রতিভা","genije","génius","geni","Genius","ވަރަށް މޮޅު","ιδιοφυία","genio","geenius","نابغه","nero","génie","genius","גָאוֹן","तेज़ दिमाग वाला","genije","հանճարեղ","jenius","snilld","genio","天才","jenius","გენიალური","данышпан","천재","гений","genial","genijus","ģēnijs","генијалец","суут ухаантан","genius","ġenju","ပါရမီ","प्रतिभा","genie","geni","geniusz","هوښیار","gênio","geniu","гений","génius","genij","garaadka","gjenial","геније","genius","geni","fikra","гениал","อัจฉริยะ","zehin","henyo","dahi","геній","عقلمند","daho","thiên tài","天才"
"wise","wise","wys","ጥበበኛ","حكيم","জ্ঞানী","müdrik","мудры","мъдър","জ্ঞানী","mudar","moudrý","klog","weise","ޙިކްމަތްތެރި","σοφός","inteligente","tark","عاقل","viisas","sage","ciallmhar","חכם","ढंग","mudar","իմաստուն","bijak","vitur","saggio","賢い","wicaksana","ბრძენი","дана","지혜로운","акылдуу","weise","išmintingas","gudrs","мудар","мэргэн","bijak","għaqli","ပညာရှိ","बुद्धिमान्","verstandig","klok","mądry","هوښیار","sábio","înţelept","мудрый","múdry","moder","caqli leh","i mençur","мудар","wijaksana","klok","mwenye busara","доно","ฉลาด","akylly","matalino","bilge","мудрий","عقل مند","dono","khôn ngoan","明智的"
"skillful","skillful","vaardig","የተዋጣለት","ماهر","দক্ষ","bacarıqlı","ўмелы","умел","দক্ষ","vješto","dovedný","dygtig","geschickt","ހުނަރުވެރިއެވެ","επιδέξιος","hábil","osav","ماهرانه","taitava","habile","sciliúil","מיומן","निपुण","vješto","հմուտ","mahir","færir","abile","巧みな","trampil","დახელოვნებული","епті","잘 만들어진","чебер","kompetent","sumanus","izveicīgs","вешт","чадварлаг","mahir","sengħa","လိမ္မာသော","दक्ष","vaardig","dyktig","zręczny","تکړه","hábil","abil","искусный","zručne","spreten","xirfad leh","i aftë","вешт","terampil","skicklig","mwenye ustadi","мохир","เก่ง","ussat","magaling","yetenekli","вправний","ہنر مند","mohir","khéo léo","熟练"
"capable","capable","bekwaam","የሚችል","قادر","সক্ষম","qadir","здольны","способен","সক্ষম","sposoban","schopný","i stand til at","fähig","ކުޅަދާނަކަން","ικανός","capaz","võimeline","توانا","kykenevä","capable","ábalta","בעל יכולת","काबिल","sposoban","ընդունակ","mampu","fær","capace","有能","saged","შეუძლია","қабілетті","유능한","жөндөмдүү","kapabel","galintis","spējīgs","способни","чадвартай","berkemampuan","kapaċi","စွမ်းရည်","योग्य","geschikt","i stand","zdolny","وړ","capaz","capabil","способный","schopný","sposoben","karti leh","të aftë","способан","mampuh","kapabel","wenye uwezo","қодир","มีความสามารถ","ukyply","may kakayahan","yetenekli","здатний","قابل","qodir","có khả năng","有能力的"
"proficient","proficient","vaardig","ጎበዝ","بارع","দক্ষ","bacarıqlı","дасведчаны","опитен","দক্ষ","stručan","dovedný","dygtig","kompetent","ފަންނުވެރިއެކެވެ","εντριβής","competente","asjatundlik","مسلط","taitava","compétent","líofa","בקיא","प्रवीण","vješt","հմուտ","ahli","vandvirkur","competente","熟練した","ahli","დახელოვნებული","білікті","능숙하다","чебер","beherrscht","įgudęs","prasmīgs","умешен","чадварлаг","mahir","profiċjenti","ကျွမ်းကျင်","निपुण","bekwaam","dyktig","biegły","ماهر","proficiente","priceput","опытный","zdatný","usposobljeni","karti leh","i aftë","вешт","pinter","skicklig","ujuzi","кордон","เชี่ยวชาญ","ökde","marunong","Yetkin","досвідчений","ماہر","malakali","thành thạo","精通"
"talented","talented","talentvol","ጎበዝ","موهوب","প্ৰতিভাৱান","istedadlı","таленавіты","талантлив","প্রতিভাশালী","talentovan","talentovaný","talentfulde","talentiert","ހުނަރުވެރިއެވެ","ταλαντούχος","talentoso","andekas","با استعداد","lahjakas","talentueux","cumasach","מוּכשָׁר","प्रतिभावान","talentiran","տաղանդավոր","berbakat","hæfileikaríkur","talentuoso","才能のある","bakat","ნიჭიერი","талантты","재간 있는","таланттуу","talentéiert","talentingas","talantīgs","талентирани","авъяастай","berbakat","b'talent","ထက်မြက်တယ်။","प्रतिभाशाली","getalenteerd","talentfulle","utalentowany","با استعداده","talentoso","talentat","талантливый","talentovaný","nadarjen","karti leh","i talentuar","талентован","berbakat","begåvad","wenye vipaji","боистеъдод","มีพรสวรรค์","zehinli","may talento","yetenekli","талановитий","باصلاحیت","iste'dodli","có tài","才华横溢"
